state_code,state,gini,crude_rate,age_adjusted_rate,ffl,median_income,poverty_prop,unemployed_prop,blue_collar_prop,hs_prop,college_prop,below_hs_prop,some_college_prop,total_pop,male_prop,white_prop,black_prop,native_prop,asian_prop,hispanic_prop,median_age,geriatric_prop,age_15_24_prop,age_25_44_prop,age_45_64_prop,ffl_per_100000
1,Alabama,0.4769,13.38,13.13,1153,62061,18.4,8.3,25.900000000000002,31.0,24.0,15.2,29.799999999999997,4841164,48.5,66.2,26.4,0.5,1.2,4.0,38.6,15.3,13.8,25.4,26.6,23.82
2,Alaska,0.4174,21.68,21.66,666,92191,10.1,7.8,23.3,27.7,28.8,7.6000000000000005,35.8,736855,52.3,62.0,3.1,13.7,5.9,6.7,33.6,9.4,14.8,28.2,26.3,90.38
4,Arizona,0.4682,16.73,16.72,1361,70432,17.7,8.0,18.9,24.3,28.0,13.8,34,6728577,49.7,56.1,4.0,4.0,3.0,30.5,37.1,15.9,14,25.8,24.3,20.23
5,Arkansas,0.4708,15.23,15.18,1249,58850,18.8,6.9,26.9,34.7,21.5,14.8,29,2968472,49.1,73.4,15.4,0.5,1.4,7.0,37.7,15.7,13.7,25.4,25.4,42.08
6,California,0.488,9.9,9.91,2284,91149,15.8,8.7,20.2,20.6,32.0,17.9,29.5,38654206,49.7,38.4,5.6,0.4,13.7,38.6,36.0,12.9,14.3,28,25.200000000000003,5.91
8,Colorado,0.459,17.63,17.4,1557,84384,12.2,6.0,18.3,21.7,38.7,9,30.6,5359295,50.2,69.0,3.9,0.5,2.9,21.1,36.4,12.7,13.5,28.4,26,29.05
9,Connecticut,0.4947,9.08,8.68,429,102616,10.4,8.0,16.8,27.3,38.0,9.9,24.8,3588570,48.8,68.7,9.7,0.1,4.2,15.0,40.6,15.5,13.7,24.5,28.8,11.95
10,Delaware,0.4488,11.81,11.53,132,80432,12.0,7.1,18.9,31.1,30.5,11.2,27.2,934695,48.4,63.5,21.1,0.3,3.7,8.8,39.6,16.5,13.3,24.9,27.099999999999998,14.12
11,District of Columbia,0.5334,5.94,5.67,6,110614,17.9,8.7,6.5,18.0,55.4,10,16.6,659009,47.4,35.8,47.4,0.2,3.6,10.5,33.8,11.4,14.7,36.7,22.2,0.91
12,Florida,0.4852,14.44,13.51,2768,69936,16.1,8.4,18.2,29.2,27.9,12.8,30.200000000000003,19934451,48.9,55.6,15.4,0.2,2.6,24.1,41.6,19.1,12.4,24.9,26.7,13.89
13,Georgia,0.4816,11.47,11.54,1900,71420,17.8,8.5,22.299999999999997,28.1,29.4,14.100000000000001,28.4,10099320,48.7,54.1,30.7,0.2,3.7,9.2,36.2,12.3,14.2,27.299999999999997,25.6,18.81
15,Hawaii,0.4369,11.64,11.33,128,91169,10.8,5.5,18.4,27.8,31.4,8.7,32.1,1413673,50.2,22.4,1.7,0.1,37.0,10.0,38.5,16.1,12.8,26.9,25.900000000000002,9.05
16,Idaho,0.4457,17.34,17.74,819,64513,15.2,6.2,24.2,27.6,26.2,10,36.1,1635483,50.1,82.9,0.6,1.1,1.3,12.0,35.7,14.3,13.899999999999999,25.4,24.4,50.08
17,Illinois,0.4789,9.25,9.13,2132,81865,14.0,8.2,21.2,26.5,32.9,11.7,28.900000000000002,12851684,49.1,62.2,14.1,0.1,5.1,16.6,37.4,13.9,13.7,26.9,26.3,16.59
18,Indiana,0.4494,12.89,12.85,1475,66480,15.0,6.9,27.400000000000002,34.2,24.6,11.9,29.200000000000003,6589578,49.2,80.2,9.1,0.2,2.0,6.5,37.4,14.3,14.3,25.3,26.3,22.38
