geography_code,geography,state_group,gini,age_adjusted_rate,crude_rate,median_income,poverty_prop,unemployed_prop,blue_collar_prop,urban_rural_code,hs_prop,college_prop,below_hs_prop,some_college_prop,religious2014,civic2014,business2014,political2014,professional2014,labor2014,bowling2014,recreational2014,golf2014,sports2014,pop2014,assn2014,pvote2012,respn2010,nccs2014,sk2014,male_prop,white_prop,black_prop,native_prop,asian_prop,hispanic_prop,median_age,geriatric_prop,age_15_24_prop,age_25_44_prop,age_45_64_prop,ffl,total_pop,ffl_per_100000
1001,Autauga County,Alabama,0.4295,18.53,19.26,67651,12.3,5.6,24.6,3,34.3,24.6,12.4,28.6,53,7,3,0,1,4,1,5,2,0,55290,1.3745704467353952,0.644955609362389,0.78,157,-0.631003349820884,48.8,75.7,18.4,0.4,0.8,2.6,37.8,14,13.4,26,26.3,NA,NA,NA
1003,Baldwin County,Alabama,0.4608,20.36,20.75,70277,13,6.3,21.9,4,28.7,29.5,9.899999999999999,31.799999999999997,169,16,9,0,3,1,1,25,7,0,199713,1.1566598068227907,0.6747354048443999,0.73,718,-0.5553960055534322,48.8,83.2,9.2,0.6,0.7,4.4,42.3,18.7,11.6,23.8,27.6,NA,NA,NA
1007,Bibb County,Alabama,0.4494,17.99,17.72,53863,16.5,7.1,41.8,2,41.8,12,19.3,26.900000000000002,20,0,1,0,0,0,0,1,1,0,22549,1.020000886957293,0.6568375068258054,0.58,54,-0.906581520515335,53.5,74.8,21.2,0.4,0.1,2.2,40.2,14.9,13.2,27.3,27.599999999999998,NA,NA,NA
1009,Blount County,Alabama,0.4165,17.53,18.02,56439,16.5,6,34.4,2,32.9,13,19.9,34.1,39,0,1,0,0,3,0,3,3,0,57658,0.8498387040826945,0.7086683750110453,0.8,108,-1.013279735322674,49.5,87.7,1.6,0.3,0.2,8.7,40.8,17.2,12.2,24.299999999999997,27,NA,NA,NA
1015,Calhoun County,Alabama,0.4543,17.58,18.47,55559,19.6,11.7,30.4,4,32.1,17.7,17.7,32.6,133,11,5,1,0,6,1,7,6,0,115993,1.4656056831015665,0.661464054898492,0.75,409,-0.3518921256559913,48.1,73,20.3,0.2,0.9,3.4,39.1,15.9,13.9,24.799999999999997,27.099999999999998,NA,NA,NA
1017,Chambers County,Alabama,0.4734,24.17,22.93,50369,20.3,7.5,38.099999999999994,5,39.4,12.5,19.799999999999997,28.3,59,1,1,0,0,0,1,0,1,0,34052,1.850111594032656,0.5980051506356538,0.74,100,-0.3667309502318464,47.9,56.7,40.5,0.2,0.9,0.4,43.1,18.4,12.3,23.6,28.200000000000003,NA,NA,NA
1019,Cherokee County,Alabama,0.4464,21.06,20.85,52972,16.4,5.9,35.5,6,36,14,18.8,31.4,21,1,1,0,0,1,0,1,1,0,25995,1.0001923446816694,0.6382063481718048,0.55,53,-1.0521433234975324,49.7,91.9,4.6,0.6,0.3,1.6,45.7,20.3,11,21.3,30.5,NA,NA,NA
1021,Chilton County,Alabama,0.4575,16.01,16.43,56521,20.3,7.9,34.1,2,41.3,14.9,20,24,64,1,1,0,0,1,0,2,1,0,43921,1.5937706336376678,0.6262087243034167,0.72,97,-0.5992058685869089,49.2,80.6,10,0.3,0.4,7.6,38.7,15.2,12,26.700000000000003,25.799999999999997,NA,NA,NA
1025,Clarke County,Alabama,0.5259,17.48,17.71,49910,24.6,17.1,40.3,6,45.1,12.1,18.9,23.7,40,1,2,0,0,2,0,3,1,0,24847,1.9720690626635007,0.7204865623537974,0.57,88,0.4119540346534999,47.2,53.2,45.5,0,0.5,0.2,42,18.1,13.3,22.7,27.7,NA,NA,NA
1031,Coffee County,Alabama,0.4485,17.23,17.26,63566,16.4,6.2,27.6,5,29.3,23.7,14.9,32.2,67,0,4,0,0,2,1,4,3,0,50831,1.593515767936889,0.6281413405165583,0.71,143,-0.48402832545051017,49.4,71.4,17,0.8,1.2,6.6,39.3,15.8,12.6,26.1,26,NA,NA,NA
