GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US01,01,Alabama,0.4769,0.0019
0400000US02,02,Alaska,0.4174,0.0052
0400000US04,04,Arizona,0.4682,0.0018
0400000US05,05,Arkansas,0.4708,0.0028
0400000US06,06,California,0.4880,0.0010
0400000US08,08,Colorado,0.4590,0.0017
0400000US09,09,Connecticut,0.4947,0.0021
0400000US10,10,Delaware,0.4488,0.0050
0400000US11,11,District of Columbia,0.5334,0.0047
0400000US12,12,Florida,0.4852,0.0011
0400000US13,13,Georgia,0.4816,0.0015
0400000US15,15,Hawaii,0.4369,0.0034
0400000US16,16,Idaho,0.4457,0.0039
0400000US17,17,Illinois,0.4789,0.0013
0400000US18,18,Indiana,0.4494,0.0022
0400000US19,19,Iowa,0.4422,0.0024
0400000US20,20,Kansas,0.4555,0.0024
0400000US21,21,Kentucky,0.4741,0.0023
0400000US22,22,Louisiana,0.4903,0.0022
0400000US23,23,Maine,0.4515,0.0038
0400000US24,24,Maryland,0.4513,0.0015
0400000US25,25,Massachusetts,0.4826,0.0016
0400000US26,26,Michigan,0.4648,0.0011
0400000US27,27,Minnesota,0.4490,0.0014
0400000US28,28,Mississippi,0.4799,0.0030
0400000US29,29,Missouri,0.4632,0.0018
0400000US30,30,Montana,0.4587,0.0041
0400000US31,31,Nebraska,0.4420,0.0020
0400000US32,32,Nevada,0.4522,0.0029
0400000US33,33,New Hampshire,0.4344,0.0030
0400000US34,34,New Jersey,0.4782,0.0013
0400000US35,35,New Mexico,0.4754,0.0032
0400000US36,36,New York,0.5102,0.0013
0400000US37,37,North Carolina,0.4748,0.0014
0400000US38,38,North Dakota,0.4586,0.0046
0400000US39,39,Ohio,0.4641,0.0012
0400000US40,40,Oklahoma,0.4652,0.0019
0400000US41,41,Oregon,0.4612,0.0020
0400000US42,42,Pennsylvania,0.4680,0.0009
0400000US44,44,Rhode Island,0.4738,0.0038
0400000US45,45,South Carolina,0.4690,0.0017
0400000US46,46,South Dakota,0.4438,0.0045
0400000US47,47,Tennessee,0.4786,0.0020
0400000US48,48,Texas,0.4803,0.0011
0400000US49,49,Utah,0.4261,0.0028
0400000US50,50,Vermont,0.4435,0.0042
0400000US51,51,Virginia,0.4673,0.0014
0400000US53,53,Washington,0.4560,0.0018
0400000US54,54,West Virginia,0.4621,0.0035
0400000US55,55,Wisconsin,0.4435,0.0016
0400000US56,56,Wyoming,0.4279,0.0058
0400000US72,72,Puerto Rico,0.5457,0.0038
